x,greenLed,InfraredLed
1524836552123,10933,3375070
1524836552124,10903,3375069
1524836552138,10933,3375070
1524836552153,10937,3375110
1524836552155,10919,3375087
1524836552168,10954,3375102
1524836552184,10955,3375086
1524836552185,10945,3375141
1524836552198,10948,3375103
1524836552213,10969,3375119
1524836552214,10962,3375105
1524836552228,10966,3375107
1524836552258,10948,3375050
1524836552260,10981,3374998
1524836552261,10934,3375002
1524836552288,10930,3374941
1524836552290,10943,3374931
1524836552290,10946,3374908
1524836552303,10947,3374936
1524836552304,10946,3374908
1524836552318,10907,3374888
1524836552333,10950,3374914
1524836552334,10960,3374917
1524836552348,10905,3374915
1524836552364,10945,3374961
1524836552365,10920,3374925
1524836552379,10954,3374952
1524836552393,10938,3374945
1524836552394,10962,3374960
1524836552408,10955,3374973
1524836552423,10948,3374969
1524836552424,10933,3374990
1524836552438,10935,3374965
1524836552468,10917,3375012
1524836552470,10934,3374982
1524836552471,10923,3375025
1524836552483,10937,3375037
1524836552484,10932,3375049
1524836552513,10911,3375064
1524836552514,10924,3375054
1524836552515,10935,3375015
1524836552528,10923,3375116
1524836552558,10935,3375042
1524836552560,10910,3375052
1524836552561,10924,3375074
1524836552573,10941,3375139
1524836552574,10911,3375199
1524836552588,10927,3375307
1524836552633,10872,3375459
1524836552738,10890,3375765
1524836552740,10899,3376185
1524836552741,10893,3376539
1524836552742,10901,3376997
1524836552744,10883,3377482
1524836552753,10852,3378172
1524836552768,10841,3380073
1524836552770,10820,3380133
1524836552783,10818,3380167
1524836552784,10780,3380192
1524836552785,10783,3380203
1524836552798,10795,3380198
1524836552813,10775,3380185
1524836552816,10779,3380153
1524836552843,10764,3380097
1524836552888,10773,3380067
1524836552933,10764,3379987
1524836552934,10745,3379925
1524836552935,10735,3379853
1524836552936,10729,3379876
1524836552936,10713,3379891
1524836552948,10723,3379762
1524836552949,10647,3379550
1524836552978,10638,3379603
1524836552979,10615,3379543
1524836552980,10592,3379500
1524836552993,10596,3379343
1524836552994,10601,3379172
1524836553023,10585,3379003
1524836553024,10585,3378973
1524836553025,10574,3378917
1524836553042,10576,3378902
1524836553053,10580,3378894
1524836553054,10582,3378904
1524836553083,10542,3378827
1524836553084,10532,3378707
1524836553085,10512,3378485
1524836553113,10558,3378230
1524836553115,10529,3377870
1524836553116,10524,3377528
1524836553128,10497,3377165
1524836553143,10513,3376857
1524836553145,10515,3376588
1524836553158,10504,3376387
1524836553173,10532,3376322
1524836553175,10517,3376335
1524836553188,10538,3376345
1524836553203,10508,3376397
1524836553204,10506,3376403
1524836553218,10487,3376350
1524836553233,10482,3376283
1524836553234,10448,3376244
1524836553263,10482,3376140
1524836553264,10486,3376124
1524836553266,10488,3376107
1524836553293,10484,3376158
1524836553294,10453,3376094
1524836553295,10469,3376030
1524836553323,10448,3376024
1524836553324,10448,3375964
1524836553325,10434,3375940
1524836553383,10451,3375947
1524836553384,10459,3375942
1524836553385,10436,3375940
1524836553386,10440,3375974
1524836553398,10429,3375978
1524836553399,10406,3375988
1524836553400,10417,3375987
1524836553413,10405,3375912
1524836553414,10382,3375918
1524836553428,10392,3375903
1524836553443,10387,3375934
1524836553444,10365,3375910
1524836553458,10334,3375958
1524836553474,10348,3376029
1524836553476,10289,3376134
1524836553488,10300,3376240
1524836553608,10251,3376364
1524836553609,10238,3376491
1524836553624,10240,3376611
1524836553625,10209,3376722
1524836553626,10217,3376812
1524836553638,10167,3376925
1524836553639,10089,3376831
1524836553640,10079,3376767
1524836553641,10057,3376686
1524836553668,10060,3376683
1524836553669,10070,3376576
1524836553670,10039,3376527
1524836553683,10049,3376536
1524836553684,10048,3376525
1524836553698,10025,3376499
1524836553713,10061,3376508
1524836553714,10021,3376539
1524836553729,10006,3376582
1524836553743,9984,3376585
1524836553751,10001,3376632
1524836553758,9995,3376639
1524836553773,9976,3376694
1524836553774,9985,3376715
1524836553788,10012,3376703
1524836553803,9989,3376735
1524836553805,9990,3376711
1524836553818,9987,3376712
1524836553834,9991,3376725
